['10.1.80.1:32904', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658456389423, 'unknown']
['10.1.80.1:44420', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658458789885, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44420', 'socket', 'write', 1727658458790035, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44421', 'socket', 'write', 1727658458790534, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416759]', 'file', 'write', 1727658459914748, 'unknown']
['10.1.80.247:50294', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658459914651, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727658459914952, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658459915068, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727658459915127, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658459915372, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273418164]', 'file', 'write', 1727658459915694, 'unknown']
['/etc/hosts', 'file', '/usr/local/bin/node', 'process', 'read', 1727658459916791, 'unknown']
['/etc/resolv.conf', 'file', '/usr/local/bin/node', 'process', 'read', 1727658459916812, 'unknown']
['/usr/local/bin/node', 'process', '10.152.183.10:53', 'socket', 'sendto', 1727658459916904, 'unknown']
['10.152.183.10:53', 'socket', '/usr/local/bin/node', 'process', 'recvfrom', 1727658459917716, 'unknown']
['/usr/local/bin/node', 'process', 'gateway:8080', 'socket', 'connect', 1727658459921825, 'unknown']
['10.1.80.247:51868', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658459926835, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416607]', 'file', 'write', 1727658459926922, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727658459927330, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658459928025, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727658459928066, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658459928464, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273417785]', 'file', 'write', 1727658459928758, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416608]', 'file', 'write', 1727658459931175, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:51868', 'socket', 'write', 1727658459931904, 'unknown']
['gateway:8080', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658459932096, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416760]', 'file', 'write', 1727658459933890, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50294', 'socket', 'write', 1727658459934383, 'unknown']
['/home/app/credentials.txt', 'file', '/usr/local/bin/node', 'process', 'read', 1727658459962480, 'unknown']
['10.1.80.247:50344', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460013976, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50344', 'socket', 'write', 1727658460027209, 'unknown']
['10.1.80.247:50440', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460241001, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50440', 'socket', 'write', 1727658460252338, 'unknown']
['10.1.80.1:33176', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460389154, 'unknown']
['10.1.80.1:33174', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460389700, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33174', 'socket', 'write', 1727658460390182, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33176', 'socket', 'write', 1727658460390054, 'unknown']
['10.1.80.247:50526', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460438618, 'unknown']
['10.1.80.247:50546', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460486238, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50526', 'socket', 'write', 1727658460486338, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50546', 'socket', 'write', 1727658460532377, 'unknown']
['10.1.80.247:52142', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460540666, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:52142', 'socket', 'write', 1727658460543489, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44254', 'socket', 'write', 1727658460562817, 'unknown']
['10.1.80.1:44254', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460562699, 'unknown']
['10.1.80.1:44252', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460562679, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44252', 'socket', 'write', 1727658460563555, 'unknown']
['10.1.80.1:43228', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460652343, 'unknown']
['10.1.80.1:43227', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460652641, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43227', 'socket', 'write', 1727658460657807, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43228', 'socket', 'write', 1727658460658678, 'unknown']
['10.1.80.1:44836', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460791400, 'unknown']
['10.1.80.1:44834', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460791428, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44836', 'socket', 'write', 1727658460791882, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44834', 'socket', 'write', 1727658460793454, 'unknown']
['10.1.80.247:50716', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658460862325, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:50716', 'socket', 'write', 1727658460892802, 'unknown']
['10.1.80.1:33419', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462388934, 'unknown']
['10.1.80.1:33418', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462389064, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33419', 'socket', 'write', 1727658462389127, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33418', 'socket', 'write', 1727658462389986, 'unknown']
['10.1.80.1:44421', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462561242, 'unknown']
['10.1.80.1:44420', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462561296, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44420', 'socket', 'write', 1727658462561449, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44421', 'socket', 'write', 1727658462562010, 'unknown']
['10.1.80.1:43352', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462650810, 'unknown']
['10.1.80.1:43354', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462651587, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43354', 'socket', 'write', 1727658462651726, 'unknown']
['10.1.80.1:44914', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462789475, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43352', 'socket', 'write', 1727658462652208, 'unknown']
['10.1.80.1:44912', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658462789503, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44914', 'socket', 'write', 1727658462789692, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44912', 'socket', 'write', 1727658462789819, 'unknown']
['10.1.80.1:33450', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464388762, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33450', 'socket', 'write', 1727658464388977, 'unknown']
['10.1.80.1:33452', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464389673, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:33452', 'socket', 'write', 1727658464390046, 'unknown']
['10.1.80.1:44453', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464561778, 'unknown']
['10.1.80.1:44452', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464561778, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44453', 'socket', 'write', 1727658464562080, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44452', 'socket', 'write', 1727658464562207, 'unknown']
['10.1.80.1:43385', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464650866, 'unknown']
['10.1.80.1:43384', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464650889, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43384', 'socket', 'write', 1727658464651004, 'unknown']
['10.1.80.1:44940', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464789974, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:43385', 'socket', 'write', 1727658464651347, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44940', 'socket', 'write', 1727658464790109, 'unknown']
['10.1.80.1:44941', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658464790187, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:44941', 'socket', 'write', 1727658464790521, 'unknown']
