['10.1.80.1:53470', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658952789697, 'unknown']
['10.1.80.1:42031', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956390808, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42031', 'socket', 'write', 1727658956390925, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42030', 'socket', 'write', 1727658956391413, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53034', 'socket', 'write', 1727658956562772, 'unknown']
['10.1.80.1:53034', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956562646, 'unknown']
['10.1.80.1:53032', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956562831, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53032', 'socket', 'write', 1727658956562892, 'unknown']
['10.1.80.1:51968', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956651443, 'unknown']
['10.1.80.1:51966', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956651458, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:51966', 'socket', 'write', 1727658956651846, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:51968', 'socket', 'write', 1727658956652041, 'unknown']
['10.1.80.1:53522', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956789453, 'unknown']
['10.1.80.1:53524', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658956789824, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53524', 'socket', 'write', 1727658956790570, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53522', 'socket', 'write', 1727658956791151, 'unknown']
['10.1.80.247:59382', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957188390, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416759]', 'file', 'write', 1727658957197103, 'unknown']
['10.1.80.247:59388', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957200022, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727658957216176, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957217113, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727658957218880, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658957224200, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273418164]', 'file', 'write', 1727658957224581, 'unknown']
['/etc/hosts', 'file', '/usr/local/bin/node', 'process', 'read', 1727658957226013, 'unknown']
['/etc/resolv.conf', 'file', '/usr/local/bin/node', 'process', 'read', 1727658957226035, 'unknown']
['/usr/local/bin/node', 'process', '10.152.183.10:53', 'socket', 'sendto', 1727658957226139, 'unknown']
['10.1.80.247:59402', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957229212, 'unknown']
['10.1.80.247:59412', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957236440, 'unknown']
['10.152.183.10:53', 'socket', '/usr/local/bin/node', 'process', 'recvfrom', 1727658957238013, 'unknown']
['/usr/local/bin/node', 'process', 'gateway:8080', 'socket', 'connect', 1727658957260108, 'unknown']
['10.1.80.247:32776', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957264892, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416607]', 'file', 'write', 1727658957265041, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'connect', 1727658957281417, 'unknown']
['10.1.80.247:60998', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957277257, 'unknown']
['10.1.80.247:32768', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957279571, 'unknown']
['10.1.80.247:59450', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957279283, 'unknown']
['localhost:3000', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957281604, 'unknown']
['/usr/bin/fwatchdog', 'process', 'localhost:3000', 'socket', 'write', 1727658957281672, 'unknown']
['10.1.80.247:32774', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957281886, 'unknown']
['localhost:3000', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658957285323, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416608]', 'file', 'write', 1727658957286314, 'unknown']
['/usr/local/bin/node', 'process', 'pipe:[273417785]', 'file', 'write', 1727658957285638, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:60998', 'socket', 'write', 1727658957286560, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:32776', 'socket', 'write', 1727658957288833, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:32774', 'socket', 'write', 1727658957289745, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:32768', 'socket', 'write', 1727658957290665, 'unknown']
['gateway:8080', 'socket', '/usr/local/bin/node', 'process', 'read', 1727658957308120, 'unknown']
['10.1.80.247:59466', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957308404, 'unknown']
['/usr/bin/fwatchdog', 'process', 'pipe:[273416760]', 'file', 'write', 1727658957323096, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59412', 'socket', 'write', 1727658957336017, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59402', 'socket', 'write', 1727658957338857, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59450', 'socket', 'write', 1727658957339449, 'unknown']
['10.1.80.247:59476', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957339612, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59382', 'socket', 'write', 1727658957347244, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59388', 'socket', 'write', 1727658957349522, 'unknown']
['10.1.80.247:32864', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957446002, 'unknown']
['10.1.80.247:59538', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957446827, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59476', 'socket', 'write', 1727658957460843, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:32864', 'socket', 'write', 1727658957480753, 'unknown']
['10.1.80.247:59564', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957504204, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59466', 'socket', 'write', 1727658957516155, 'unknown']
['10.1.80.247:32920', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957555255, 'unknown']
['10.1.80.247:59598', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957584411, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:32920', 'socket', 'write', 1727658957603474, 'unknown']
['10.1.80.247:59606', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957607485, 'unknown']
['10.1.80.247:59614', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957622228, 'unknown']
['10.1.80.247:59628', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957661991, 'unknown']
['10.1.80.247:59636', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957673260, 'unknown']
['10.1.80.247:59646', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957685846, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59538', 'socket', 'write', 1727658957751302, 'unknown']
['10.1.80.247:59688', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957832626, 'unknown']
['10.1.80.247:59710', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957868716, 'unknown']
['10.1.80.247:59716', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957894574, 'unknown']
['10.1.80.247:59726', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957909896, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59564', 'socket', 'write', 1727658957951956, 'unknown']
['10.1.80.247:33098', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957969686, 'unknown']
['10.1.80.247:59772', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957971515, 'unknown']
['10.1.80.247:33096', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957974345, 'unknown']
['10.1.80.247:59780', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658957995799, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33098', 'socket', 'write', 1727658958006990, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33096', 'socket', 'write', 1727658958023246, 'unknown']
['10.1.80.247:59794', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958027794, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59606', 'socket', 'write', 1727658958054376, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59614', 'socket', 'write', 1727658958055355, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59598', 'socket', 'write', 1727658958069567, 'unknown']
['10.1.80.247:33170', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958097172, 'unknown']
['10.1.80.247:33152', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958097808, 'unknown']
['10.1.80.247:33154', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958098202, 'unknown']
['10.1.80.247:33156', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958098537, 'unknown']
['10.1.80.247:33158', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958098891, 'unknown']
['10.1.80.247:33162', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958099258, 'unknown']
['10.1.80.247:59862', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958108148, 'unknown']
['10.1.80.247:59870', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958134251, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33170', 'socket', 'write', 1727658958151541, 'unknown']
['10.1.80.247:59878', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958152409, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33152', 'socket', 'write', 1727658958159384, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33154', 'socket', 'write', 1727658958176286, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33156', 'socket', 'write', 1727658958218444, 'unknown']
['10.1.80.247:59894', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958219806, 'unknown']
['10.1.80.247:59886', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958229907, 'unknown']
['10.1.80.247:59906', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958242954, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33158', 'socket', 'write', 1727658958247607, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33162', 'socket', 'write', 1727658958251056, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59646', 'socket', 'write', 1727658958311231, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59636', 'socket', 'write', 1727658958314263, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59688', 'socket', 'write', 1727658958325512, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59628', 'socket', 'write', 1727658958342921, 'unknown']
['10.1.80.247:33298', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958353513, 'unknown']
['10.1.80.247:33276', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958353951, 'unknown']
['10.1.80.247:33280', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958354556, 'unknown']
['10.1.80.247:33278', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958354245, 'unknown']
['10.1.80.247:33282', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958361691, 'unknown']
['10.1.80.247:33284', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958362682, 'unknown']
['10.1.80.247:33286', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958365116, 'unknown']
['10.1.80.247:33288', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958381099, 'unknown']
['10.1.80.247:33290', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958390922, 'unknown']
['10.1.80.1:42674', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958395327, 'unknown']
['10.1.80.247:33328', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958397820, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42674', 'socket', 'write', 1727658958395457, 'unknown']
['10.1.80.247:33326', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958395519, 'unknown']
['10.1.80.247:33330', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958400513, 'unknown']
['10.1.80.247:33294', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958400674, 'unknown']
['10.1.80.247:33296', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958401074, 'unknown']
['10.1.80.247:33332', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958403379, 'unknown']
['10.1.80.1:42672', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958403717, 'unknown']
['10.1.80.247:33338', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958403813, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42672', 'socket', 'write', 1727658958408936, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33298', 'socket', 'write', 1727658958416457, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33276', 'socket', 'write', 1727658958423068, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33278', 'socket', 'write', 1727658958432004, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59716', 'socket', 'write', 1727658958434907, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33280', 'socket', 'write', 1727658958438283, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59710', 'socket', 'write', 1727658958442376, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33282', 'socket', 'write', 1727658958443664, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59772', 'socket', 'write', 1727658958444928, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33288', 'socket', 'write', 1727658958451755, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33286', 'socket', 'write', 1727658958454303, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59726', 'socket', 'write', 1727658958456333, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59780', 'socket', 'write', 1727658958459235, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33284', 'socket', 'write', 1727658958460457, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33328', 'socket', 'write', 1727658958469299, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33290', 'socket', 'write', 1727658958470828, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33294', 'socket', 'write', 1727658958479771, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33296', 'socket', 'write', 1727658958484197, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33330', 'socket', 'write', 1727658958488191, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59862', 'socket', 'write', 1727658958496012, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33326', 'socket', 'write', 1727658958497560, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59794', 'socket', 'write', 1727658958498117, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33338', 'socket', 'write', 1727658958500476, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59906', 'socket', 'write', 1727658958509265, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:33332', 'socket', 'write', 1727658958510896, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59886', 'socket', 'write', 1727658958511584, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59894', 'socket', 'write', 1727658958523250, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59878', 'socket', 'write', 1727658958523902, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.247:59870', 'socket', 'write', 1727658958525685, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53702', 'socket', 'write', 1727658958561838, 'unknown']
['10.1.80.1:53703', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958561257, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53703', 'socket', 'write', 1727658958561456, 'unknown']
['10.1.80.1:53702', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958561562, 'unknown']
['10.1.80.1:52634', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958651919, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52635', 'socket', 'write', 1727658958652368, 'unknown']
['10.1.80.1:52635', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958652010, 'unknown']
['10.1.80.1:54190', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958789870, 'unknown']
['10.1.80.1:54191', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658958789870, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52634', 'socket', 'write', 1727658958652111, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54191', 'socket', 'write', 1727658958790028, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54190', 'socket', 'write', 1727658958790273, 'unknown']
['10.1.80.1:42732', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960389074, 'unknown']
['10.1.80.1:42734', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960389175, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42732', 'socket', 'write', 1727658960389519, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42734', 'socket', 'write', 1727658960389378, 'unknown']
['10.1.80.1:53734', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960560833, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53734', 'socket', 'write', 1727658960561067, 'unknown']
['10.1.80.1:53736', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960561515, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53736', 'socket', 'write', 1727658960561674, 'unknown']
['10.1.80.1:52668', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960650844, 'unknown']
['10.1.80.1:52670', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960651613, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52670', 'socket', 'write', 1727658960651660, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52668', 'socket', 'write', 1727658960651961, 'unknown']
['10.1.80.1:54224', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960789334, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54224', 'socket', 'write', 1727658960789455, 'unknown']
['10.1.80.1:54226', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658960789530, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54226', 'socket', 'write', 1727658960804648, 'unknown']
['10.1.80.1:42755', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962389752, 'unknown']
['10.1.80.1:42754', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962389762, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42755', 'socket', 'write', 1727658962389873, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:42754', 'socket', 'write', 1727658962389886, 'unknown']
['10.1.80.1:53756', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962561689, 'unknown']
['10.1.80.1:53758', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962562027, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53756', 'socket', 'write', 1727658962562459, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:53758', 'socket', 'write', 1727658962562796, 'unknown']
['10.1.80.1:52688', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962651483, 'unknown']
['10.1.80.1:52690', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962651556, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52690', 'socket', 'write', 1727658962651840, 'unknown']
['10.1.80.1:54248', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962800878, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:52688', 'socket', 'write', 1727658962652252, 'unknown']
['10.1.80.1:54250', 'socket', '/usr/bin/fwatchdog', 'process', 'read', 1727658962800921, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54250', 'socket', 'write', 1727658962801178, 'unknown']
['/usr/bin/fwatchdog', 'process', '10.1.80.1:54248', 'socket', 'write', 1727658962801784, 'unknown']
